Date,Season,Week,Stadium,PlayingSurface,Temperature,Humidity,WindSpeed,AwayTeam,HomeTeam,AwayScore,HomeScore,TotalScore,OverUnder,PointSpread,AwayScoreQuarter1,AwayScoreQuarter2,AwayScoreQuarter3,AwayScoreQuarter4,AwayScoreOvertime,HomeScoreQuarter1,HomeScoreQuarter2,HomeScoreQuarter3,HomeScoreQuarter4,HomeScoreOvertime,AwayTimeOfPosession,HomeTimeOfPosession,AwayFirstDowns,HomeFirstDowns,AwayFirstDownsByRushing,HomeFirstDownsByRushing,AwayFirstDownsByPassing,HomeFirstDownsByPassing,AwayFirstDownsByPenalty,HomeFirstDownsByPenalty,AwayOffensivePlays,HomeOffensivePlays,AwayOffensiveYards,HomeOffensiveYards,AwayOffensiveYardsPerPlay,HomeOffensiveYardsPerPlay,AwayTouchdowns,HomeTouchdowns,AwayRushingAttempts,HomeRushingAttempts,AwayRushingYards,HomeRushingYards,AwayRushingYardsPerAttempt,HomeRushingYardsPerAttempt,AwayRushingTouchdowns,HomeRushingTouchdowns,AwayPassingAttempts,HomePassingAttempts,AwayPassingCompletions,HomePassingCompletions,AwayPassingYards,HomePassingYards,AwayPassingTouchdowns,HomePassingTouchdowns,AwayPassingInterceptions,HomePassingInterceptions,AwayPassingYardsPerAttempt,HomePassingYardsPerAttempt,AwayPassingYardsPerCompletion,HomePassingYardsPerCompletion,AwayCompletionPercentage,HomeCompletionPercentage,AwayPasserRating,HomePasserRating,AwayThirdDownAttempts,HomeThirdDownAttempts,AwayThirdDownConversions,HomeThirdDownConversions,AwayThirdDownPercentage,HomeThirdDownPercentage,AwayFourthDownAttempts,HomeFourthDownAttempts,AwayFourthDownConversions,HomeFourthDownConversions,AwayFourthDownPercentage,HomeFourthDownPercentage,AwayRedZoneAttempts,HomeRedZoneAttempts,AwayRedZoneConversions,HomeRedZoneConversions,AwayGoalToGoAttempts,HomeGoalToGoAttempts,AwayGoalToGoConversions,HomeGoalToGoConversions,AwayReturnYards,HomeReturnYards,AwayPenalties,HomePenalties,AwayPenaltyYards,HomePenaltyYards,AwayFumbles,HomeFumbles,AwayFumblesLost,HomeFumblesLost,AwayTimesSacked,HomeTimesSacked,AwayTimesSackedYards,HomeTimesSackedYards,AwaySafeties,HomeSafeties,AwayPunts,HomePunts,AwayPuntYards,HomePuntYards,AwayPuntAverage,HomePuntAverage,AwayGiveaways,HomeGiveaways,AwayTakeaways,HomeTakeaways,AwayTurnoverDifferential,HomeTurnoverDifferential,AwayKickoffs,HomeKickoffs,AwayKickoffsInEndZone,HomeKickoffsInEndZone,AwayKickoffTouchbacks,HomeKickoffTouchbacks,AwayPuntsHadBlocked,HomePuntsHadBlocked,AwayPuntNetAverage,HomePuntNetAverage,AwayExtraPointKickingAttempts,HomeExtraPointKickingAttempts,AwayExtraPointKickingConversions,HomeExtraPointKickingConversions,AwayExtraPointsHadBlocked,HomeExtraPointsHadBlocked,AwayExtraPointPassingAttempts,HomeExtraPointPassingAttempts,AwayExtraPointPassingConversions,HomeExtraPointPassingConversions,AwayExtraPointRushingAttempts,HomeExtraPointRushingAttempts,AwayExtraPointRushingConversions,HomeExtraPointRushingConversions,AwayFieldGoalAttempts,HomeFieldGoalAttempts,AwayFieldGoalsMade,HomeFieldGoalsMade,AwayFieldGoalsHadBlocked,HomeFieldGoalsHadBlocked,AwayPuntReturns,HomePuntReturns,AwayPuntReturnYards,HomePuntReturnYards,AwayKickReturns,HomeKickReturns,AwayKickReturnYards,HomeKickReturnYards,AwayInterceptionReturns,HomeInterceptionReturns,AwayInterceptionReturnYards,HomeInterceptionReturnYards
9/5/2012 8:30:00 PM,2012,1,MetLife Stadium,FieldTurf,77,63,5,DAL,NYG,24,17,41,47.0,-3.0,0,7,10,7,0,0,3,7,7,0,34:7,25:53,18,15,5,3,12,11,1,1,57,54,433,269,7.6,5.0,3,2,26,19,143,82,5.5,4.3,0,1,29,32,22,21,290,187,3,1,1,0,10,5.8,13.2,8.9,75.9,65.6,127.08,91.54,10,12,4,4,40.0,33.3,1,2,0,2,0,100,3,3,2,2,1,3,0,2,3,56,13,4,86,33,0,1,0,1,2,3,17,26,0,0,2,4,108,201,54,50.2,1,1,1,1,0,0,5,4,3,3,0,1,0,0,51.5,44.5,3,2,3,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,1,3,5,3,5,61,100,0,1,0,51
9/9/2012 1:00:00 PM,2012,1,Soldier Field,Grass,67,66,13,IND,CHI,21,41,62,41.5,-9.5,7,7,0,7,0,7,17,10,7,0,24:32,35:28,22,26,4,8,16,15,2,3,63,70,356,428,5.7,6.1,3,5,15,33,63,114,4.2,3.5,1,3,45,35,23,21,293,314,1,2,3,1,6.5,9.0,12.7,15.0,51.1,60.0,51.44,96.61,10,12,2,4,20.0,33.3,2,0,2,0,100,0,4,6,2,4,1,3,1,3,16,86,3,7,19,48,2,0,2,0,3,2,16,19,0,0,5,5,257,208,51.4,41.6,5,1,1,5,-4,4,4,8,4,7,2,4,0,0,42.8,35.2,3,5,3,5,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,2,1,12,23,4,2,73,49,1,3,4,63
9/9/2012 1:00:00 PM,2012,1,Cleveland Browns Stadium,Grass,68,57,9,PHI,CLE,17,16,33,42.0,9.0,0,10,0,7,0,3,0,3,10,0,35:58,24:2,25,12,10,3,14,7,1,2,88,59,456,210,5.2,3.6,2,1,30,22,150,99,5,4.5,0,0,56,35,29,12,306,111,2,0,4,4,5.5,3.2,10.6,9.2,51.8,34.3,50.15,4.29,19,13,8,2,42.1,15.4,1,0,1,0,100,0,2,2,2,0,1,1,1,0,19,166,12,3,110,35,3,2,1,0,2,2,11,7,0,0,6,7,330,308,55,44,5,4,4,5,-1,1,4,5,3,3,0,2,0,0,42.0,40.3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,2,3,1,3,0,0,1,6,6,78,3,4,64,98,4,4,13,88
9/9/2012 1:00:00 PM,2012,1,Ford Field,Dome,68,70,0,STL,DET,23,27,50,47.0,-9.5,3,10,0,10,0,0,10,3,14,0,30:6,29:54,14,28,4,5,10,23,0,0,55,67,250,429,4.5,6.4,2,3,26,18,77,83,3.0,4.6,0,2,25,48,17,32,173,346,1,1,0,3,6.9,7.2,10.2,10.8,68.0,66.7,100.92,68.58,12,9,4,4,33.3,44.4,0,0,0,0,0,0,1,5,0,3,0,4,0,3,113,53,7,3,65,27,2,0,0,0,4,1,25,9,0,0,5,3,241,121,48.2,40.3,0,3,3,0,3,-3,6,6,5,6,4,5,0,0,37.6,38.3,2,3,2,3,0,0,0,0,0,0,0,0,0,0,3,2,3,2,0,0,1,5,6,53,1,2,25,19,3,0,107,0
9/9/2012 1:00:00 PM,2012,1,Reliant Stadium,Grass,81,42,12,MIA,HOU,10,30,40,44.5,-13.0,3,0,7,0,0,0,24,3,3,0,25:16,34:44,15,19,6,3,7,15,2,1,58,68,275,337,4.7,5.0,1,3,20,35,76,83,3.8,2.4,0,2,36,31,20,20,199,254,0,1,3,0,5.5,8.2,10.0,12.7,55.6,64.5,36.69,100.74,10,17,2,7,20.0,41.2,3,0,0,0,0,0,3,6,0,3,1,3,0,1,76,54,7,4,78,35,3,0,1,0,2,2,20,12,0,0,3,5,133,218,44.3,43.6,4,0,0,4,-4,4,3,7,3,6,0,1,0,0,39.7,28.4,1,3,1,3,0,0,0,0,0,0,0,0,0,0,1,4,1,3,0,0,2,1,76,14,6,3,155,47,0,3,0,40
9/9/2012 1:00:00 PM,2012,1,Arrowhead Stadium,Grass,69,47,7,ATL,KC,40,24,64,42.0,2.5,10,10,14,6,0,3,14,0,7,0,28:5,31:55,21,22,4,9,17,13,0,0,55,69,376,393,6.8,5.7,4,3,23,33,84,152,3.7,4.6,1,2,31,33,23,21,292,241,3,1,0,2,9.4,7.3,12.7,11.5,74.2,63.6,135.42,70.39,10,16,5,11,50.0,68.8,0,0,0,0,0,0,7,2,4,2,3,2,2,2,5,14,2,2,12,25,1,1,0,1,1,3,7,17,0,0,1,1,52,47,52,47,0,3,3,0,3,-3,9,5,7,5,4,2,0,0,38.0,47.0,4,3,4,3,0,0,0,0,0,0,0,0,0,0,4,2,4,1,0,0,0,1,0,14,3,5,112,95,2,0,5,0
9/9/2012 1:00:00 PM,2012,1,Metrodome,Dome,70,40,0,JAX,MIN,23,26,49,39.0,-3.5,3,6,3,11,0,0,7,7,9,3,37:49,27:5,22,20,7,6,12,14,3,0,75,58,355,389,4.7,6.7,2,2,34,29,113,123,3.3,4.2,0,2,39,27,23,20,242,266,2,0,0,0,6.2,9.9,10.5,13.3,59.0,74.1,94.18,104.86,18,10,9,2,50.0,20.0,2,0,1,0,50.0,0,3,4,1,2,2,3,1,2,20,22,4,5,25,47,3,1,1,1,2,2,18,4,0,0,4,5,214,242,53.5,48.4,1,1,1,1,0,0,7,6,5,5,2,3,0,0,43.0,44.4,1,2,0,2,1,0,1,0,1,0,0,0,0,0,3,4,3,4,0,0,4,2,20,22,3,5,63,128,0,0,0,0
9/9/2012 1:00:00 PM,2012,1,Mercedes-Benz Superdome,Artificial,78,64,12,WAS,NO,40,32,72,51.5,-8.5,10,10,10,10,0,7,7,3,15,0,39:10,20:50,22,24,7,2,13,17,2,5,71,64,459,358,6.5,5.6,4,4,43,10,153,32,3.6,3.2,2,0,26,52,19,24,306,326,2,3,0,2,11.8,6.3,16.1,13.6,73.1,46.2,137.66,69.87,15,11,4,2,26.7,18.2,1,2,1,2,100,100,5,2,3,1,3,2,3,1,84,14,12,12,127,107,3,1,0,1,2,2,14,13,0,0,4,5,139,278,34.8,55.6,0,3,3,0,3,-3,9,6,9,5,6,4,1,0,26.3,48.8,4,3,4,3,0,0,0,0,0,0,0,1,0,1,4,1,4,1,0,0,4,2,34,14,2,3,49,103,2,0,50,0
9/9/2012 1:00:00 PM,2012,1,MetLife Stadium,FieldTurf,74,48,0,BUF,NYJ,28,48,76,42.5,-3.0,0,7,7,14,0,7,20,14,7,0,28:42,31:18,20,21,6,5,13,15,1,1,58,63,390,384,6.7,6.1,4,6,26,36,195,118,7.5,3.3,1,1,32,27,18,19,195,266,3,3,3,1,6.1,9.9,10.8,14,56.2,70.4,66.54,123.38,9,14,6,10,66.7,71.4,1,0,1,0,100,0,2,5,2,3,2,1,2,1,27,114,6,5,34,34,1,2,1,0,0,0,0,0,0,0,2,2,81,103,40.5,51.5,4,1,1,4,-3,3,5,9,4,8,3,6,0,0,6.5,38.0,4,6,4,6,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,27,68,3,1,71,24,1,3,0,46
9/9/2012 1:00:00 PM,2012,1,LP Field,Grass,74,45,4,NE,TEN,34,13,47,48.5,6.5,7,14,7,6,0,3,0,7,3,0,31:1,28:59,25,16,13,1,12,13,0,2,67,61,390,284,5.8,4.7,4,1,35,16,162,20,4.6,1.2,1,0,31,43,23,29,228,264,2,1,0,1,7.4,6.1,9.9,9.1,74.2,67.4,116.06,81.93,12,14,6,5,50.0,35.7,0,2,0,1,0,50.0,4,2,2,0,3,1,2,0,27,0,3,3,20,30,0,1,0,1,1,2,8,8,0,0,4,4,154,209,38.5,52.2,0,2,2,0,2,-2,7,4,6,4,3,2,0,0,33.5,45.5,4,1,4,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,3,0,27,0,2,4,47,98,1,0,0,0
