Season,Week,Date,AwayTeam,HomeTeam,Channel,PointSpread,OverUnder
2012,1,9/5/2012 8:30:00 PM,DAL,NYG,NBC,-3.0,47.0
2012,1,9/9/2012 1:00:00 PM,IND,CHI,CBS,-9.5,41.5
2012,1,9/9/2012 1:00:00 PM,PHI,CLE,FOX,9.0,42.0
2012,1,9/9/2012 1:00:00 PM,NE,TEN,CBS,6.5,48.5
2012,1,9/9/2012 1:00:00 PM,ATL,KC,FOX,2.5,42.0
2012,1,9/9/2012 1:00:00 PM,JAX,MIN,CBS,-3.5,39.0
2012,1,9/9/2012 1:00:00 PM,WAS,NO,FOX,-8.5,51.5
2012,1,9/9/2012 1:00:00 PM,BUF,NYJ,CBS,-3.0,42.5
2012,1,9/9/2012 1:00:00 PM,STL,DET,FOX,-9.5,47.0
2012,1,9/9/2012 1:00:00 PM,MIA,HOU,CBS,-13.0,44.5
2012,1,9/9/2012 4:25:00 PM,SF,GB,FOX,-5.0,45.0
2012,1,9/9/2012 4:25:00 PM,SEA,ARI,FOX,3.0,42.0
2012,1,9/9/2012 4:25:00 PM,CAR,TB,FOX,2.5,47.0
2012,1,9/9/2012 8:20:00 PM,PIT,DEN,NBC,-2.0,45.0
2012,1,9/10/2012 7:00:00 PM,CIN,BAL,ESPN,-7.0,40.5
2012,1,9/10/2012 10:15:00 PM,SD,OAK,ESPN,-1.0,47.5
2012,2,9/13/2012 8:20:00 PM,CHI,GB,NFL,-5.0,48.5
2012,2,9/16/2012 1:00:00 PM,KC,BUF,CBS,-3.0,45.0
2012,2,9/16/2012 1:00:00 PM,CLE,CIN,CBS,-7.0,41.5
2012,2,9/16/2012 1:00:00 PM,MIN,IND,FOX,3.0,43.0
2012,2,9/16/2012 1:00:00 PM,NO,CAR,FOX,3.0,48.0
2012,2,9/16/2012 1:00:00 PM,HOU,JAX,CBS,6.5,42.5
2012,2,9/16/2012 1:00:00 PM,ARI,NE,FOX,-12.5,48.0
2012,2,9/16/2012 1:00:00 PM,TB,NYG,FOX,-8.5,43.5
2012,2,9/16/2012 1:00:00 PM,BAL,PHI,CBS,-2.5,44.0
2012,2,9/16/2012 1:00:00 PM,OAK,MIA,CBS,1.0,41.0
2012,2,9/16/2012 4:05:00 PM,WAS,STL,FOX,3.5,46.0
2012,2,9/16/2012 4:05:00 PM,DAL,SEA,FOX,3.0,43.0
2012,2,9/16/2012 4:25:00 PM,NYJ,PIT,CBS,-4.5,41.5
2012,2,9/16/2012 4:25:00 PM,TEN,SD,CBS,-6.5,44.5
2012,2,9/16/2012 8:20:00 PM,DET,SF,NBC,-7.0,46.5
2012,2,9/17/2012 8:30:00 PM,DEN,ATL,ESPN,-3.0,48.0
2012,3,9/20/2012 8:20:00 PM,NYG,CAR,NFL,-2.5,49.0
2012,3,9/23/2012 1:00:00 PM,STL,CHI,FOX,-7.0,41.5
2012,3,9/23/2012 1:00:00 PM,BUF,CLE,CBS,3.0,45.5
