Date,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,PlayingSurface,Temperature,Humidity,WindSpeed,OverUnder,PointSpread,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPosessionMinutes,TimeOfPosessionSeconds,TimeOfPosession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,ReturnYards,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Safeties,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPosessionMinutes,OpponentTimeOfPosessionSeconds,OpponentTimeOfPosession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentReturnYards,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentSafeties,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,QuarterbackHitsDifferential,TacklesForLossDifferential,QuarterbackSacksDifferential,TacklesForLossPercentage,QuarterbackHitsPercentage,TimesSackedPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,OpponentQuarterbackHitsDifferential,OpponentTacklesForLossDifferential,OpponentQuarterbackSacksDifferential,OpponentTacklesForLossPercentage,OpponentQuarterbackHitsPercentage,OpponentTimesSackedPercentage,Kickoffs,KickoffsInEndZone,KickoffTouchbacks,PuntsHadBlocked,PuntNetAverage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,FieldGoalsHadBlocked,PuntReturns,PuntReturnYards,KickReturns,KickReturnYards,InterceptionReturns,InterceptionReturnYards,OpponentKickoffs,OpponentKickoffsInEndZone,OpponentKickoffTouchbacks,OpponentPuntsHadBlocked,OpponentPuntNetAverage,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,OpponentFieldGoalsHadBlocked,OpponentPuntReturns,OpponentPuntReturnYards,OpponentKickReturns,OpponentKickReturnYards,OpponentInterceptionReturns,OpponentInterceptionReturnYards
9/5/2012 8:30:00 PM,2012,1,DAL,NYG,AWAY,24,17,41,MetLife Stadium,FieldTurf,77,63,5,47.0,3.0,0,7,10,7,0,34,7,34:7,18,5,12,1,57,433,7.6,3,26,143,5.5,0,29,22,290,3,1,10,13.2,75.9,127.08,10,4,40.0,1,0,0,3,2,1,0,3,13,86,0,0,2,17,5,5,0,2,108,54,1,1,0,0,3,7,7,0,25,53,25:53,15,3,11,1,54,269,5.0,2,19,82,4.3,1,32,21,187,1,0,5.8,8.9,65.6,91.54,12,4,33.3,2,2,100,3,2,3,2,56,4,33,1,1,3,26,2,4,0,4,201,50.2,1,1,0,66.7,0,3,1,1,26.3,14.3,6.5,66.7,66.7,-3,-1,-1,15.4,6.5,8.6,5,3,0,0,51.5,3,3,0,0,0,0,0,1,1,0,3,3,3,61,0,0,4,3,1,0,44.5,2,2,0,0,0,0,0,1,1,0,1,5,5,100,1,51
9/5/2012 8:30:00 PM,2012,1,NYG,DAL,HOME,17,24,41,MetLife Stadium,FieldTurf,77,63,5,47.0,-3.0,0,3,7,7,0,25,53,25:53,15,3,11,1,54,269,5.0,2,19,82,4.3,1,32,21,187,1,0,5.8,8.9,65.6,91.54,12,4,33.3,2,2,100,3,2,3,2,56,4,33,1,1,3,26,2,4,0,4,201,50.2,1,1,0,0,7,10,7,0,34,7,34:7,18,5,12,1,57,433,7.6,3,26,143,5.5,0,29,22,290,3,1,10,13.2,75.9,127.08,10,4,40.0,1,0,0,3,2,1,0,3,13,86,0,0,2,17,5,5,0,2,108,54,1,1,0,66.7,66.7,-3,-1,-1,15.4,6.5,8.6,66.7,0,3,1,1,26.3,14.3,6.5,4,3,1,0,44.5,2,2,0,0,0,0,0,1,1,0,1,5,5,100,1,51,5,3,0,0,51.5,3,3,0,0,0,0,0,1,1,0,3,3,3,61,0,0
9/9/2012 1:00:00 PM,2012,1,CHI,IND,HOME,41,21,62,Soldier Field,Grass,67,66,13,41.5,-9.5,7,17,10,7,0,35,28,35:28,26,8,15,3,70,428,6.1,5,33,114,3.5,3,35,21,314,2,1,9.0,15.0,60.0,96.61,12,4,33.3,0,0,0,6,4,3,3,86,7,48,0,0,2,19,5,4,0,5,208,41.6,1,5,4,7,7,0,7,0,24,32,24:32,22,4,16,2,63,356,5.7,3,15,63,4.2,1,45,23,293,1,3,6.5,12.7,51.1,51.44,10,2,20.0,2,2,100,4,2,1,1,16,3,19,2,2,3,16,3,7,0,5,257,51.4,5,1,-4,66.7,100,2,-3,1,26.7,10.4,5.4,50.0,100,-2,3,-1,21.2,8.1,6.2,8,7,4,0,35.2,5,5,0,0,0,0,0,2,2,0,1,23,2,49,3,63,4,4,2,0,42.8,3,3,0,0,0,0,0,1,0,0,2,12,4,73,1,4
9/9/2012 1:00:00 PM,2012,1,CLE,PHI,HOME,16,17,33,Cleveland Browns Stadium,Grass,68,57,9,42.0,9.0,3,0,3,10,0,24,2,24:2,12,3,7,2,59,210,3.6,1,22,99,4.5,0,35,12,111,0,4,3.2,9.2,34.3,4.29,13,2,15.4,0,0,0,2,0,1,0,166,3,35,2,0,2,7,11,6,0,7,308,44,4,5,1,0,10,0,7,0,35,58,35:58,25,10,14,1,88,456,5.2,2,30,150,5,0,56,29,306,2,4,5.5,10.6,51.8,50.15,19,8,42.1,1,1,100,2,2,1,1,19,12,110,3,1,2,11,4,5,0,6,330,55,5,4,-1,0,0,7,1,0,20.0,19.0,5.4,100,100,-7,-1,0,22.7,10.8,3.4,5,3,2,0,40.3,1,1,0,0,0,0,0,3,3,0,6,78,4,98,4,88,4,3,0,0,42.0,2,2,0,0,0,0,0,2,1,0,1,6,3,64,4,13
9/9/2012 1:00:00 PM,2012,1,DET,STL,HOME,27,23,50,Ford Field,Dome,68,70,0,47.0,-9.5,0,10,3,14,0,29,54,29:54,28,5,23,0,67,429,6.4,3,18,83,4.6,2,48,32,346,1,3,7.2,10.8,66.7,68.58,9,4,44.4,0,0,0,5,3,4,3,53,3,27,0,0,1,9,8,5,0,3,121,40.3,3,0,-3,3,10,0,10,0,30,6,30:6,14,4,10,0,55,250,4.5,2,26,77,3.0,0,25,17,173,1,0,6.9,10.2,68.0,100.92,12,4,33.3,0,0,0,1,0,0,0,113,7,65,2,0,4,25,3,4,0,5,241,48.2,0,3,3,60.0,75.0,5,1,3,19.2,27.6,2.0,0,0,-5,-1,-3,22.2,6.1,13.8,6,6,5,0,38.3,3,3,0,0,0,0,0,2,2,0,5,53,2,19,0,0,6,5,4,0,37.6,2,2,0,0,0,0,0,3,3,0,1,6,1,25,3,107
9/9/2012 1:00:00 PM,2012,1,HOU,MIA,HOME,30,10,40,Reliant Stadium,Grass,81,42,12,44.5,-13.0,0,24,3,3,0,34,44,34:44,19,3,15,1,68,337,5.0,3,35,83,2.4,2,31,20,254,1,0,8.2,12.7,64.5,100.74,17,7,41.2,0,0,0,6,3,3,1,54,4,35,0,0,2,12,3,4,0,5,218,43.6,0,4,4,3,0,7,0,0,25,16,25:16,15,6,7,2,58,275,4.7,1,20,76,3.8,0,36,20,199,0,3,5.5,10.0,55.6,36.69,10,2,20.0,3,0,0,3,0,1,0,76,7,78,3,1,2,20,5,8,0,3,133,44.3,4,0,-4,50.0,33.3,-2,-4,0,20.0,7.9,6.1,0,0,2,4,0,22.9,15.2,5.3,7,6,1,0,28.4,3,3,0,0,0,0,0,4,3,0,1,14,3,47,3,40,3,3,0,0,39.7,1,1,0,0,0,0,0,1,1,0,2,76,6,155,0,0
9/9/2012 1:00:00 PM,2012,1,KC,ATL,HOME,24,40,64,Arrowhead Stadium,Grass,69,47,7,42.0,2.5,3,14,0,7,0,31,55,31:55,22,9,13,0,69,393,5.7,3,33,152,4.6,2,33,21,241,1,2,7.3,11.5,63.6,70.39,16,11,68.8,0,0,0,2,2,2,2,14,2,25,1,1,3,17,3,4,0,1,47,47,3,0,-3,10,10,14,6,0,28,5,28:5,21,4,17,0,55,376,6.8,4,23,84,3.7,1,31,23,292,3,0,9.4,12.7,74.2,135.42,10,5,50.0,0,0,0,7,4,3,2,5,2,12,1,0,1,7,4,7,0,1,52,52,0,3,3,100,100,-1,-3,-2,17.4,9.4,8.3,57.1,66.7,1,3,2,21.2,11.1,3.1,5,5,2,0,47.0,3,3,0,0,0,0,0,2,1,0,1,14,5,95,0,0,9,7,4,0,38.0,4,4,0,0,0,0,0,4,4,0,0,0,3,112,2,5
9/9/2012 1:00:00 PM,2012,1,MIN,JAX,HOME,26,23,49,Metrodome,Dome,70,40,0,39.0,-3.5,0,7,7,9,3,27,5,27:5,20,6,14,0,58,389,6.7,2,29,123,4.2,2,27,20,266,0,0,9.9,13.3,74.1,104.86,10,2,20.0,0,0,0,4,2,3,2,22,5,47,1,1,2,4,7,3,0,5,242,48.4,1,1,0,3,6,3,11,0,37,49,37:49,22,7,12,3,75,355,4.7,2,34,113,3.3,0,39,23,242,2,0,6.2,10.5,59.0,94.18,18,9,50.0,2,1,50.0,3,1,2,1,20,4,25,3,1,2,18,1,4,0,4,214,53.5,1,1,0,50.0,66.7,6,-1,0,8.8,17.1,6.9,33.3,50.0,-6,1,0,13.8,3.4,4.9,6,5,3,0,44.4,2,2,0,0,0,0,0,4,4,0,2,22,5,128,0,0,7,5,2,0,43.0,1,0,1,1,1,0,0,3,3,0,4,20,3,63,0,0
9/9/2012 1:00:00 PM,2012,1,NO,WAS,HOME,32,40,72,Mercedes-Benz Superdome,Artificial,78,64,12,51.5,-8.5,7,7,3,15,0,20,50,20:50,24,2,17,5,64,358,5.6,4,10,32,3.2,0,52,24,326,3,2,6.3,13.6,46.2,69.87,11,2,18.2,2,2,100,2,1,2,1,14,12,107,1,1,2,13,5,3,0,5,278,55.6,3,0,-3,10,10,10,10,0,39,10,39:10,22,7,13,2,71,459,6.5,4,43,153,3.6,2,26,19,306,2,0,11.8,16.1,73.1,137.66,15,4,26.7,1,1,100,5,3,3,3,84,12,127,3,0,2,14,5,3,0,4,139,34.8,0,3,3,50.0,50.0,0,0,0,7.0,17.9,3.7,60.0,100,0,0,0,30.0,9.3,7.1,6,5,4,0,48.8,3,3,0,0,0,1,1,1,1,0,2,14,3,103,0,0,9,9,6,1,26.3,4,4,0,0,0,0,0,4,4,0,4,34,2,49,2,50
9/9/2012 1:00:00 PM,2012,1,NYJ,BUF,HOME,48,28,76,MetLife Stadium,FieldTurf,74,48,0,42.5,-3.0,7,20,14,7,0,31,18,31:18,21,5,15,1,63,384,6.1,6,36,118,3.3,1,27,19,266,3,1,9.9,14,70.4,123.38,14,10,71.4,0,0,0,5,3,1,1,114,5,34,2,0,0,0,6,3,0,2,103,51.5,1,4,3,0,7,7,14,0,28,42,28:42,20,6,13,1,58,390,6.7,4,26,195,7.5,1,32,18,195,3,3,6.1,10.8,56.2,66.54,9,6,66.7,1,1,100,2,2,2,2,27,6,34,1,1,0,0,0,1,0,2,81,40.5,4,1,-3,60.0,100,6,2,0,11.5,18.8,0,100,100,-6,-2,0,2.8,0,0,9,8,6,0,38.0,6,6,0,0,0,0,0,2,2,0,1,68,1,24,3,46,5,4,3,0,6.5,4,4,0,0,0,0,0,0,0,0,1,27,3,71,1,0
