Season,Week,Date,AwayTeam,HomeTeam,Channel,PointSpread,OverUnder
1985,1,9/8/1985 12:00:00 AM,MIA,HOU,,7.5,45.0
1985,1,9/8/1985 12:00:00 AM,STL,CLE,,3.0,40.5
1985,1,9/8/1985 12:00:00 AM,SF,MIN,,11.5,46.0
1985,1,9/8/1985 12:00:00 AM,DET,ATL,,-3.0,42.0
1985,1,9/8/1985 12:00:00 AM,SEA,CIN,,3.5,41.5
1985,1,9/8/1985 12:00:00 AM,KC,NO,,1.5,43.0
1985,1,9/8/1985 12:00:00 AM,PHI,NYG,,-6.0,38.5
1985,1,9/8/1985 12:00:00 AM,GB,NE,,-4.0,45.0
1985,1,9/8/1985 12:00:00 AM,TB,CHI,,-8.0,39.0
1985,1,9/8/1985 12:00:00 AM,IND,PIT,,-10.0,40.5
1985,1,9/8/1985 12:00:00 AM,NYJ,LARAID,,-9.0,40.5
1985,1,9/8/1985 12:00:00 AM,SD,BUF,,6.0,47.5
1985,1,9/8/1985 12:00:00 AM,DEN,LARAMS,,1.0,38.0
1985,1,9/9/1985 12:00:00 AM,WAS,DAL,,1.5,43.5
1985,2,9/12/1985 12:00:00 AM,LARAID,KC,,1.5,44.0
1985,2,9/15/1985 12:00:00 AM,LARAMS,PHI,,4.5,38.0
1985,2,9/15/1985 12:00:00 AM,DAL,DET,,5.5,45.5
1985,2,9/15/1985 12:00:00 AM,HOU,WAS,,-10.5,46.0
1985,2,9/15/1985 12:00:00 AM,NE,CHI,,-5.0,44.0
1985,2,9/15/1985 12:00:00 AM,CIN,STL,,-4.0,48.5
1985,2,9/15/1985 12:00:00 AM,BUF,NYJ,,-3.5,40.5
1985,2,9/15/1985 12:00:00 AM,IND,MIA,,-18.0,44.5
1985,2,9/15/1985 12:00:00 AM,ATL,SF,,-14.0,45.0
1985,2,9/15/1985 12:00:00 AM,MIN,TB,,-3.0,46.0
1985,2,9/15/1985 12:00:00 AM,NYG,GB,,1.0,42.0
1985,2,9/15/1985 12:00:00 AM,NO,DEN,,-10.0,39.5
1985,2,9/15/1985 12:00:00 AM,SEA,SD,,3.5,46.0
1985,2,9/16/1985 12:00:00 AM,PIT,CLE,,2.0,41.5
1985,3,9/19/1985 12:00:00 AM,CHI,MIN,,3.0,41.5
1985,3,9/22/1985 12:00:00 AM,DET,IND,,5.0,44.0
1985,3,9/22/1985 12:00:00 AM,NE,BUF,,6.5,42.5
1985,3,9/22/1985 12:00:00 AM,STL,NYG,,-2.0,47.0
1985,3,9/22/1985 12:00:00 AM,DEN,ATL,,5.5,45.0
1985,3,9/22/1985 12:00:00 AM,SD,CIN,,-4.5,55.5
1985,3,9/22/1985 12:00:00 AM,HOU,PIT,,-6.0,43.0
1985,3,9/22/1985 12:00:00 AM,CLE,DAL,,-7.0,41.0
1985,3,9/22/1985 12:00:00 AM,TB,NO,,-2.5,45.0
1985,3,9/22/1985 12:00:00 AM,KC,MIA,,-4.0,51.5
1985,3,9/22/1985 12:00:00 AM,NYJ,GB,,-5.0,46.0
1985,3,9/22/1985 12:00:00 AM,SF,LARAID,,2.5,44.0
1985,3,9/22/1985 12:00:00 AM,PHI,WAS,,-14.0,40.0
1985,3,9/23/1985 12:00:00 AM,LARAMS,SEA,,-7.0,44.0
1985,4,9/29/1985 12:00:00 AM,NYG,PHI,,4.5,36.5
1985,4,9/29/1985 12:00:00 AM,WAS,CHI,,-6.0,42.0
1985,4,9/29/1985 12:00:00 AM,GB,STL,,-8.0,47.0
1985,4,9/29/1985 12:00:00 AM,LARAID,NE,,-1.0,43.0
1985,4,9/29/1985 12:00:00 AM,TB,DET,,-4.0,43.0
1985,4,9/29/1985 12:00:00 AM,DAL,HOU,,5.0,41.5
1985,4,9/29/1985 12:00:00 AM,MIN,BUF,,3.0,41.0
1985,4,9/29/1985 12:00:00 AM,SEA,KC,,2.0,46.0
